Date,LakeLevel,Temperature,Windspeed,Humidity,Precipitation,Groundwater
1971-01-01,20.25,-12.84,11.7,85.58,0.0,
1971-01-02,20.25,-10.15,9.37,84.46,0.0,
1971-01-03,20.25,-14.11,8.28,85.38,0.0,
1971-01-04,20.24,-12.0,6.92,86.96,0.0,
1971-01-05,20.24,-10.26,8.37,88.38,0.0,
1971-01-06,20.24,-11.65,8.31,87.75,0.0,
1971-01-07,20.24,-9.09,14.25,83.58,0.0,
1971-01-08,20.24,-1.8,14.63,82.62,0.0,
1971-01-09,20.24,1.2,9.74,91.21,0.0,
1971-01-10,20.24,-1.13,9.33,91.88,0.0,
1971-01-11,20.24,-5.64,13.97,78.75,0.0,
1971-01-12,20.24,-5.3,12.7,83.33,0.0,
1971-01-13,20.24,-3.91,10.78,86.83,0.05,
1971-01-14,20.24,0.03,14.81,91.71,0.0,
1971-01-15,20.24,-0.67,12.15,90.38,0.0,
1971-01-16,20.24,0.72,11.75,96.25,0.1,
1971-01-17,20.24,1.38,8.78,96.29,0.0,
1971-01-18,20.24,-1.05,10.31,93.38,0.0,
1971-01-19,20.24,0.7,17.1,87.96,0.01,
1971-01-20,20.24,3.1,13.99,92.33,0.09,
1971-01-21,20.25,1.53,12.05,93.29,0.0,
1971-01-22,20.25,2.47,10.81,92.75,0.08,
1971-01-23,20.25,3.9,19.44,85.33,0.02,
1971-01-24,20.26,6.49,22.11,78.96,0.15,
1971-01-25,20.26,4.59,16.75,83.54,0.0,
1971-01-26,20.26,5.74,19.97,82.29,0.12,
1971-01-27,20.27,7.38,16.79,86.75,0.22,
1971-01-28,20.27,5.27,14.65,90.58,0.12,
1971-01-29,20.27,3.69,12.96,90.71,0.17,
1971-01-30,20.28,2.6,11.17,90.75,0.02,
1971-01-31,20.28,3.38,11.04,89.33,0.0,
1971-02-01,20.28,-0.43,15.86,80.29,0.0,
1971-02-02,20.28,-1.18,14.98,67.29,0.0,
1971-02-03,20.28,1.25,22.76,87.62,0.28,
1971-02-04,20.28,-0.22,8.63,86.96,0.0,
1971-02-05,20.3,4.01,9.42,96.42,0.01,
1971-02-06,20.3,3.9,14.8,91.83,0.07,
1971-02-07,20.3,3.53,14.83,94.29,0.08,
1971-02-08,20.31,4.74,19.43,94.71,0.1,
1971-02-09,20.31,5.3,15.3,92.08,0.12,
1971-02-10,20.31,3.61,5.62,92.62,0.06,
1971-02-11,20.31,3.1,7.55,92.12,0.0,
1971-02-12,20.31,2.48,11.87,85.42,0.0,
1971-02-13,20.31,5.55,19.45,86.83,0.18,
1971-02-14,20.32,2.82,18.8,77.96,0.02,
1971-02-15,20.32,2.49,16.28,74.12,0.0,
1971-02-16,20.32,4.32,15.4,75.67,0.0,
1971-02-17,20.32,4.24,5.59,88.0,0.04,
1971-02-18,20.32,3.29,11.65,83.75,0.04,
1971-02-19,20.32,3.57,6.38,85.58,0.0,
1971-02-20,20.32,1.57,5.62,87.38,0.0,
1971-02-21,20.32,3.26,11.41,78.54,0.02,
1971-02-22,20.33,3.72,10.47,93.92,0.1,
1971-02-23,20.34,2.07,14.86,88.71,0.09,
1971-02-24,20.34,2.0,15.9,89.58,0.22,
1971-02-25,20.34,2.58,21.68,80.96,0.11,
1971-02-26,20.34,-4.73,18.45,58.04,0.08,
1971-02-27,20.34,-4.65,18.33,61.33,0.04,
1971-02-28,20.34,-2.96,23.73,82.25,0.31,
1971-03-01,20.34,-4.74,11.38,83.96,0.05,
1971-03-02,20.34,-7.6,7.12,78.5,0.0,
1971-03-03,20.33,-9.43,12.58,76.67,0.0,
1971-03-04,20.33,-10.85,10.08,76.21,0.03,
1971-03-05,20.33,-8.28,8.95,75.25,0.05,
1971-03-06,20.33,-10.45,13.8,80.21,0.0,
1971-03-07,20.33,-4.3,15.76,83.17,0.0,
1971-03-08,20.33,-0.88,13.62,88.58,0.0,
1971-03-09,20.34,1.07,13.25,93.04,0.03,
1971-03-10,20.34,-0.04,18.52,77.25,0.06,
1971-03-11,20.34,-1.75,34.25,69.38,0.13,
1971-03-12,20.34,-3.35,12.76,69.46,0.0,
1971-03-13,20.34,4.03,23.92,89.08,0.21,
1971-03-14,20.34,4.34,11.3,88.67,0.0,
1971-03-15,20.34,4.16,9.83,85.12,0.0,
1971-03-16,20.34,4.2,7.48,84.67,0.01,
1971-03-17,20.34,5.16,13.25,75.21,0.0,
1971-03-18,20.34,7.02,13.57,76.88,0.0,
1971-03-19,20.34,9.02,8.06,77.17,0.0,
1971-03-20,20.34,7.85,6.12,86.88,0.07,
1971-03-21,20.34,9.81,13.63,84.42,0.01,
1971-03-22,20.34,5.0,20.88,87.79,0.01,
1971-03-23,20.34,1.58,18.97,58.29,0.0,
1971-03-24,20.34,2.47,15.27,78.0,0.09,
1971-03-25,20.34,6.76,19.85,88.25,0.1,
1971-03-26,20.34,5.64,11.7,79.17,0.05,
1971-03-27,20.34,3.8,7.57,80.83,0.02,
1971-03-28,20.34,2.47,9.22,82.5,0.0,
1971-03-29,20.34,2.03,10.41,84.71,0.0,
1971-03-30,20.34,4.33,14.29,79.88,0.0,
1971-03-31,20.34,5.72,12.42,85.62,0.2,
1971-04-01,20.34,9.1,10.66,84.67,0.21,
1971-04-02,20.34,9.94,11.77,79.25,0.02,
1971-04-03,20.34,9.4,8.85,83.5,0.02,
1971-04-04,20.34,9.98,12.02,81.46,0.0,
1971-04-05,20.34,9.9,14.11,88.92,0.12,
1971-04-06,20.34,7.48,12.6,96.83,0.1,
1971-04-07,20.34,8.51,6.04,84.5,0.0,
1971-04-08,20.33,9.22,7.11,78.29,0.0,
1971-04-09,20.33,9.22,12.23,79.21,0.0,
1971-04-10,20.32,7.93,10.12,77.75,0.0,
1971-04-11,20.32,6.96,7.57,80.38,0.0,
1971-04-12,20.32,6.06,12.36,84.25,0.0,
1971-04-13,20.31,7.69,12.3,74.71,0.0,
1971-04-14,20.31,4.98,5.97,64.17,0.0,
1971-04-15,20.31,6.38,6.1,72.75,0.0,
1971-04-16,20.31,9.88,9.71,74.71,0.02,
1971-04-17,20.31,8.62,14.33,80.33,0.33,
1971-04-18,20.3,6.93,12.34,66.04,0.0,
